cluster,size,fire_count,fire_rate,risk_level
1,405,405,100.0,High
2,414,414,100.0,High
3,1173,1173,100.0,High
4,3650,3650,100.0,High
5,3239,3239,100.0,High
6,565,565,100.0,High
7,13,13,100.0,High
8,31,31,100.0,High
9,145,145,100.0,High
10,188,188,100.0,High
11,554,554,100.0,High
12,42,42,100.0,High
13,85,85,100.0,High
14,33,33,100.0,High
15,234,234,100.0,High
16,19,19,100.0,High
17,23,23,100.0,High
18,128,128,100.0,High
19,26,26,100.0,High
20,14,14,100.0,High
21,137,137,100.0,High
22,10,10,100.0,High
23,13,13,100.0,High
24,22,22,100.0,High
25,185,185,100.0,High
26,12,12,100.0,High
27,46,46,100.0,High
28,18,18,100.0,High
29,17,17,100.0,High
30,48,48,100.0,High
31,33,33,100.0,High
32,12,12,100.0,High
33,12,12,100.0,High
34,20,20,100.0,High
35,10,10,100.0,High
36,25,25,100.0,High
37,14,14,100.0,High
38,10,10,100.0,High
39,33,33,100.0,High
40,24,24,100.0,High
41,24,24,100.0,High
42,17,17,100.0,High
43,28,28,100.0,High
44,13,13,100.0,High
45,27,27,100.0,High
46,69,69,100.0,High
47,14,14,100.0,High
48,14,14,100.0,High
49,13,13,100.0,High
50,13,13,100.0,High
51,18,18,100.0,High
52,12,12,100.0,High
53,31,31,100.0,High
54,13,13,100.0,High
55,12,12,100.0,High
56,10,10,100.0,High
57,10,10,100.0,High
58,14,14,100.0,High
59,15,15,100.0,High
60,22,22,100.0,High
61,11,11,100.0,High
62,48,48,100.0,High
63,25,25,100.0,High
64,30,30,100.0,High
65,10,10,100.0,High
66,12,12,100.0,High
67,19,19,100.0,High
68,13,13,100.0,High
69,12,12,100.0,High
70,48,48,100.0,High
71,54,54,100.0,High
72,38,38,100.0,High
73,46,46,100.0,High
74,10,10,100.0,High
75,27,27,100.0,High
76,88,88,100.0,High
77,20,20,100.0,High
78,10,10,100.0,High
79,13,13,100.0,High
80,22,22,100.0,High
81,12,12,100.0,High
82,17,17,100.0,High
83,13,13,100.0,High
84,23,23,100.0,High
85,11,11,100.0,High
86,10,10,100.0,High
87,15,15,100.0,High
88,34,34,100.0,High
89,50,0,0.0,Low
90,540,0,0.0,Low
91,16,0,0.0,Low
92,852,0,0.0,Low
93,10491,0,0.0,Low
94,20946,0,0.0,Low
95,1139,0,0.0,Low
96,898,0,0.0,Low
97,8329,0,0.0,Low
98,3571,0,0.0,Low
99,274,0,0.0,Low
100,1952,0,0.0,Low
101,1166,0,0.0,Low
102,218,0,0.0,Low
103,114,0,0.0,Low
104,20,0,0.0,Low
105,12117,0,0.0,Low
106,10,0,0.0,Low
107,355,0,0.0,Low
108,4148,0,0.0,Low
109,23,0,0.0,Low
110,162,0,0.0,Low
111,15,0,0.0,Low
112,25,0,0.0,Low
113,43,0,0.0,Low
114,85,0,0.0,Low
115,636,0,0.0,Low
116,618,0,0.0,Low
117,19,0,0.0,Low
118,137,0,0.0,Low
119,156,0,0.0,Low
120,1136,0,0.0,Low
121,13,0,0.0,Low
122,200,0,0.0,Low
123,79,0,0.0,Low
124,199,0,0.0,Low
125,974,0,0.0,Low
126,936,0,0.0,Low
127,460,0,0.0,Low
128,493,0,0.0,Low
129,121,0,0.0,Low
130,10,0,0.0,Low
131,581,0,0.0,Low
132,72,0,0.0,Low
133,429,0,0.0,Low
134,10,0,0.0,Low
135,1015,0,0.0,Low
136,104,0,0.0,Low
137,38,0,0.0,Low
138,119,0,0.0,Low
139,29,0,0.0,Low
140,58,0,0.0,Low
141,54,0,0.0,Low
142,97,0,0.0,Low
143,48,0,0.0,Low
144,49,0,0.0,Low
145,846,0,0.0,Low
146,17,0,0.0,Low
147,96,0,0.0,Low
148,289,0,0.0,Low
149,240,0,0.0,Low
150,27,0,0.0,Low
151,88,0,0.0,Low
152,34,0,0.0,Low
153,10,0,0.0,Low
154,98,0,0.0,Low
155,76,0,0.0,Low
156,18,0,0.0,Low
157,240,0,0.0,Low
158,12,0,0.0,Low
159,350,0,0.0,Low
160,12,0,0.0,Low
